Gene_symbol	Module_assignment
ENSMMUG00000047590	Not significant
ENSMMUG00000047632	Not significant
ENSMMUG00000047655	Global down
ENSMMUG00000047800	Mono late up
ENSMMUG00000047819	Not significant
ENSMMUG00000047831	Global late down
ENSMMUG00000047833	Not significant
ENSMMUG00000047896	Not significant
ENSMMUG00000047918	Not significant
ENSMMUG00000047946	Not significant
ENSMMUG00000048033	Not significant
ENSMMUG00000048059	Not significant
ENSMMUG00000048382	Not significant
ENSMMUG00000048425	Global late down
ENSMMUG00000048482	Not significant
ENSMMUG00000048532	Not significant
ENSMMUG00000048763	Not significant
ENSMMUG00000048806	Global up
ENSMMUG00000048920	Not significant
ENSMMUG00000048926	Not significant
ENSMMUG00000048976	Not significant
ENSMMUG00000049007	Not significant
ENSMMUG00000049089	Not significant
ENSMMUG00000049104	Not significant
ENSMMUG00000049151	B/T early up
ENSMMUG00000049198	Global late down
ENTPD4	NK mid up
ENTPD6	Not significant
ENY2	Not significant
EP300	Not significant
EPB41	Global down
EPB41L4A	Not significant
EPC1	Global late down
EPC2	Not significant
EPG5	Not significant
EPHB6	Not significant
EPM2AIP1	Not significant
EPN1	Not significant
EPRS	Not significant
EPS15	Not significant
EPS15L1	Not significant
EPS8L2	Not significant
EPSTI1	Global up
ERAL1	Not significant
ERAP1	Not significant
ERAP2	B/T early up
ERBIN	Not significant
ERC1	Mono early down
ERCC1	Not significant
ERCC4	Not significant
ERCC6	Not significant
ERGIC2	Not significant
ERGIC3	Not significant
ERH	Not significant
ERI1	Not significant
ERI3	Not significant
ERICH1	Not significant
ERLEC1	Not significant
ERLIN1	Not significant
ERMARD	Not significant
ERN1	Not significant
ERO1A	Mono early up
ERO1B	Not significant
ERP27	Not significant
ERP44	Not significant
ESCO1	Mono early down
ESD	Not significant
ESS2	Not significant
ESYT1	Global down
ESYT2	Global down
ETF1	Not significant
ETFA	Not significant
ETFB	Mono late up
ETHE1	Not significant
ETS1	Global down
ETS2	B/T early up
ETV3	Not significant
ETV6	Not significant
EVA1B	Not significant
EVI2B	B/T early up
EVL	Global late down
EWSR1	Not significant
EXD2	Not significant
EXOC1	Not significant
EXOC2	Not significant
EXOC3	Not significant
EXOC5	Not significant
EXOC6	Not significant
EXOC7	Not significant
EXOC8	Not significant
EXOSC1	Not significant
EXOSC10	Not significant
EXOSC3	Not significant
EXOSC4	Not significant
EXOSC7	Mono late up
EXOSC8	Not significant
EXOSC9	Not significant
EXPH5	Not significant
EXT2	Not significant
EXTL2	Not significant
EXTL3	Not significant
EZH1	Not significant
EZH2	Not significant
EZR	Not significant
F5	Not significant
FAAH	Not significant
FAAH2	Not significant
FAAP100	Not significant
FAAP24	Not significant
FAF1	Not significant
FAF2	Not significant
FAH	Not significant
FAIM	Not significant
FAM102A	Not significant
FAM103A1	Not significant
FAM104A	Not significant
FAM104B	Not significant
FAM105A	Not significant
FAM107B	Global late down
FAM110A	Mono late down
FAM111A	Mono late up
FAM114A2	Not significant
FAM118A	Not significant
FAM120A	Mono late down
FAM120B	Not significant
FAM122B	Not significant
FAM126A	Not significant
FAM126B	Not significant
FAM129A	Mono late up
FAM133B	Not significant
FAM136A	Not significant
FAM13B	Mono early down
FAM149B1	Not significant
FAM160A2	Not significant
FAM160B1	Not significant
FAM160B2	Not significant
FAM162A	Not significant
FAM169A	Not significant
FAM172A	Not significant
FAM184A	Not significant
FAM189B	Not significant
FAM192A	Not significant
FAM193A	Not significant
FAM193B	Not significant
FAM19A5	Not significant
FAM200B	Not significant
FAM204A	Not significant
FAM206A	Not significant
FAM207A	Not significant
FAM208A	Not significant
FAM208B	Not significant
FAM210A	Not significant
FAM210B	Not significant
FAM212A	Not significant
FAM213A	Not significant
FAM214A	Not significant
FAM217B	Not significant
FAM219A	Not significant
FAM220A	Not significant
FAM222B	Not significant
FAM234A	Not significant
FAM241A	Not significant
FAM32A	Not significant
FAM35A	Not significant
FAM3A	Not significant
FAM3C	B/T early up
FAM46A	B/T early up
FAM46C	B/T early up
FAM49B	NK mid up
FAM50A	Mono early down
FAM53A	Not significant
FAM53B	Global late down
FAM53C	Not significant
FAM69A	Not significant
FAM76A	Not significant
FAM76B	Not significant
FAM78A	Not significant
FAM84B	Not significant
FAM89A	Mono late up
FAM89B	Not significant
FAM91A1	Not significant
FAM96A	Not significant
FAM96B	Not significant
FAM98A	Not significant
FAM98B	Not significant
FAM98C	Not significant
FAN1	Not significant
FANCC	Not significant
FANCD2	Not significant
FANCE	Not significant
FANCG	Not significant
FANCI	Not significant
FANCM	Not significant
FAR1	Not significant
FARS2	Not significant
FARSA	Not significant
FARSB	Not significant
FAS	Global up
FASN	Not significant
FASTK	Not significant
FASTKD1	Not significant
FASTKD2	Not significant
FASTKD5	Not significant
FAU	Global late down
FAXDC2	Not significant
FBL	Global down
FBLN5	Not significant
FBRS	Not significant
FBXL12	Not significant
FBXL17	Not significant
FBXL20	Not significant
FBXL3	Not significant
FBXL4	Not significant
FBXL5	Not significant
FBXL6	Not significant
FBXO11	Not significant
FBXO18	Not significant
FBXO21	Not significant
FBXO22	Not significant
FBXO25	Not significant
FBXO28	Not significant
FBXO3	Not significant
FBXO31	Not significant
FBXO32	Not significant
FBXO33	Not significant
FBXO34	Not significant
FBXO38	Not significant
FBXO4	Not significant
FBXO42	Not significant
FBXO44	Not significant
FBXO45	Not significant
FBXO5	Not significant
FBXO7	Mono late up
FBXO8	Not significant
FBXO9	Mono late up
FBXW11	Not significant
FBXW2	Not significant
FBXW5	Not significant
FBXW7	Mono early down
FBXW8	Not significant
FCGRT	Not significant
FCHO1	Not significant
FCHO2	Mono late down
FCHSD2	Not significant
FCMR	Not significant
FDFT1	Not significant
FDXR	Not significant
FEM1B	Not significant
FEM1C	Not significant
FER	Not significant
FER1L5	Not significant
FERMT3	Mono late up
FEZ2	Not significant
FGD3	Global late down
FGFR1OP	Not significant
FGFR1OP2	Not significant
FGL2	Mono late down
FH	Not significant
FHL3	Not significant
FHOD1	Not significant
FIBP	Not significant
FIG4	Not significant
FIGNL1	Not significant
FIS1	Global down
FKBP15	Mono early down
FKBP2	Not significant
FKBP3	Not significant
FKBP4	Not significant
FKBP5	Global up
FKBP8	Not significant
FKBPL	Not significant
FKRP	Not significant
FKTN	Not significant
FLAD1	Not significant
FLCN	Not significant
FLI1	Global late down
FLII	Mono late down
FLNA	Global down
FLNB	Not significant
FLOT1	Mono late up
FLOT2	Not significant
FLT3LG	Not significant
FLYWCH1	Not significant
FLYWCH2	Not significant
FMNL1	Mono late down
FMR1	Not significant
FN3KRP	Not significant
FNBP1	B down
FNBP1L	Not significant
FNDC3A	Not significant
FNDC3B	Not significant
FNIP1	Mono early down
FNTB	B/T early up
FOS	B/T early up
FOSB	B/T early up
FOSL2	Not significant
FOXJ2	Not significant
FOXJ3	Not significant
FOXK2	Not significant
FOXN2	Not significant
FOXN3	Not significant
FOXO1	Mono late down
FOXO3	Mono late down
FOXO4	Not significant
FOXP1	Mono late down
FOXP3	Not significant
FOXRED1	Not significant
FPGS	Not significant
FRA10AC1	Not significant
FRAT2	Not significant
FRG1	Not significant
FRMD4B	Not significant
FRMD6	Not significant
FRMD8	Not significant
FRS2	Not significant
FRYL	Mono early down
FSD1	Not significant
FTH1	B/T early up
FTL	Mono late up
FTO	Not significant
FTSJ1	Not significant
FTSJ3	Not significant
FUBP1	Global up
FUCA1	Not significant
FUCA2	Not significant
FUNDC2	Not significant
FURIN	Not significant
FUS	Lymph late up
FUT11	Not significant
FUT8	Not significant
FUZ	Not significant
FXN	Not significant
FXR1	Mono early down
FXR2	Not significant
FXYD5	Not significant
FYB1	Mono late up
FYCO1	Not significant
FYN	Global late down
FYTTD1	Not significant
FZR1	Not significant
G2E3	Not significant
G3BP1	Not significant
G6PD	Not significant
GAA	Not significant
GAB3	Not significant
GABARAP	Not significant
GABARAPL1	Not significant
GABBR1	Not significant
GABPA	Not significant
GABPB1	Not significant
GABPB2	Not significant
GADD45A	Mono late up
GADD45B	B/T early up
GADD45G	Not significant
GADD45GIP1	Not significant
GAK	Not significant
GAL3ST4	Not significant
GALC	Not significant
GALE	Not significant
GALK1	Not significant
GALNS	Not significant
GALNT1	Not significant
GALNT10	Not significant
GALNT11	Not significant
GALNT12	Not significant
GALNT2	Not significant
GALNT6	Not significant
GALNT7	Not significant
GANAB	Not significant
GAPDH	Mono late up
GAPDHS	Not significant
GAPVD1	Not significant
GAR1	Not significant
GARS	Not significant
GART	Not significant
GAS8	Not significant
GATA3	Not significant
GATAD1	Not significant
GATAD2A	Not significant
GATAD2B	Not significant
GATC	Not significant
GBA	Not significant
GBF1	Not significant
GBP2	Global up
GCC1	Not significant
GCC2	Mono early down
GCFC2	Not significant
GCLC	Not significant
GCLM	Not significant
GCN1	Not significant
GCNT1	Not significant
GCNT4	Not significant
GCOM1	Not significant
GDE1	Not significant
GDF9	Not significant
GDI1	Not significant
GDI2	B down
GEMIN4	Not significant
GEMIN5	Not significant
GEMIN8	Not significant
GET4	Not significant
GFER	Not significant
GFM1	Not significant
GFM2	Not significant
GGA1	Not significant
GGA2	Not significant
GGA3	Not significant
GGACT	Not significant
GGCX	Not significant
GGNBP2	Not significant
GGPS1	Not significant
GHDC	Not significant
GHITM	Not significant
GID4	Not significant
GIGYF1	Not significant
GIGYF2	Mono early down
GIMAP2	Not significant
GIMAP4	Mono late up
GIMAP6	Global up
GIMAP7	Lymph late up
GIMAP8	Mono late up
GINM1	Not significant
GIPC2	Not significant
GIT1	Not significant
GIT2	Not significant
GKAP1	Not significant
GLA	Mono late down
GLB1	Not significant
GLCCI1	Global late down
GLCE	Not significant
GLE1	Not significant
GLG1	Not significant
GLIPR1	NK mid up
GLIPR2	Global down
GLMN	Not significant
GLMP	Not significant
GLO1	Not significant
GLOD4	Not significant
GLRX	Mono late up
GLRX2	Not significant
GLRX3	Not significant
GLS	Not significant
GLT8D1	Not significant
GLTP	Mono late down
GLYR1	Not significant
GM2A	Mono early up
GMDS	Not significant
GMEB1	Not significant
GMEB2	Not significant
GMFB	Not significant
GMFG	Not significant
GMIP	Not significant
GMNN	Not significant
GMPPA	Not significant
GMPR2	Not significant
GMPS	Not significant
GNA12	Not significant
GNA13	Global late down
GNAI2	Not significant
GNAI3	Not significant
GNAS	Global late down
GNB1	Not significant
GNB2	Not significant
GNE	Not significant
GNG11	Mono late up
GNG5	Not significant
GNL1	Not significant
GNL2	Not significant
GNL3	Not significant
GNL3L	Not significant
GNLY	NK mid up
GNPAT	Not significant
GNPTAB	Not significant
GNPTG	Not significant
GNRH1	Not significant
GNS	Mono early up
GOLGA1	Not significant
GOLGA2	Not significant
GOLGA3	B down
GOLGA5	Not significant
GOLGA7	Not significant
GOLGB1	Global down
GOLIM4	Global late down
GOLPH3	Not significant
GOLPH3L	Not significant
GOLT1B	Not significant
GON4L	Not significant
GORASP2	Not significant
GOSR1	Not significant
GPAA1	Not significant
GPALPP1	Not significant
GPAM	Not significant
GPAT4	Not significant
GPATCH1	Not significant
GPATCH11	Not significant
GPATCH2	Not significant
GPATCH4	Not significant
GPATCH8	Not significant
GPBAR1	Not significant
GPBP1	Lymph late up
GPBP1L1	Not significant
GPCPD1	Mono late down
GPD1L	Not significant
GPD2	Not significant
GPHN	Not significant
GPKOW	Not significant
GPN1	Not significant
GPN2	Not significant
GPN3	Not significant
GPR107	Not significant
GPR132	Not significant
GPR137	Not significant
GPR137B	Not significant
GPR146	Not significant
GPR155	Not significant
GPR160	Not significant
GPR171	Not significant
GPR174	Not significant
GPR18	Not significant
GPR183	B/T early up
GPR63	Not significant
GPR65	Global up
GPR68	Not significant
GPR89A	Not significant
GPRASP1	Not significant
GPRASP2	Not significant
GPRIN3	Not significant
GPS1	Not significant
GPS2	Not significant
GPSM3	Not significant
GPX4	Not significant
GRAMD1A	Not significant
GRAMD1B	Not significant
GRAMD4	B down
GRAP	B down
GRAP2	Not significant
GRASP	Not significant
GRB2	B down
GRHPR	Not significant
GRINA	Mono late up
GRIPAP1	Not significant
GRK2	Global down
GRK5	Not significant
GRK6	Not significant
GRN	Mono early down
GRPEL2	Not significant
GRSF1	Not significant
GRWD1	Not significant
GSDMD	Global up
GSE1	Mono early down
GSK3A	Not significant
GSK3B	Not significant
GSKIP	Not significant
GSN	Not significant
GSPT1	Not significant
GSPT2	Not significant
GSR	Not significant
GSTK1	NK mid up
GSTM2	Not significant
GSTM5	Not significant
GSTP1	Not significant
GSTZ1	Not significant
GTF2A1	Not significant
GTF2A2	Not significant
GTF2B	Mono late down
GTF2E2	Not significant
GTF2F1	Not significant
GTF2F2	Not significant
GTF2H1	Not significant
GTF2H3	Not significant
GTF2H5	Not significant
GTF2I	Global down
GTF3A	B/T early up
GTF3C1	Not significant
GTF3C3	Not significant
GTF3C4	Not significant
GTF3C5	Not significant
GTPBP1	Not significant
GTPBP10	Not significant
GTPBP4	Not significant
GTPBP8	Not significant
GUF1	Not significant
GUK1	Not significant
GYG1	Not significant
GZF1	Not significant
GZMB	Lymph late up
GZMH	Not significant
GZMK	Not significant
H1FX	Not significant
H2AFJ	Mono late up
H2AFV	Mono early up
H2AFX	Not significant
H2AFY	Not significant
H2AFZ	NK mid up
HABP4	Not significant
HACD3	Not significant
HACD4	Not significant
HACE1	Not significant
HACL1	Not significant
HADH	Not significant
HADHA	Not significant
HADHB	Not significant
HAGH	Not significant
HARS	Mono late up
HARS2	Not significant
HAT1	Not significant
HAUS1	Not significant
HAUS2	Not significant
HAUS3	Not significant
HAUS6	Not significant
HAUS7	Not significant
HAUS8	Not significant
HAX1	Not significant
HBA1	Not significant
HBP1	Not significant
HBS1L	Not significant
HCFC1	Not significant
HCLS1	Global down
HCST	Not significant
HDAC2	Not significant
HDAC3	Not significant
HDAC4	Not significant
HDAC5	Not significant
HDAC6	Not significant
HDAC7	Not significant
HDDC2	Not significant
HDDC3	Not significant
HDGF	Global down
HDGFL2	Not significant
HDHD5	Not significant
HDLBP	Not significant
HEATR1	Not significant
HEATR3	Not significant
HEATR5A	Not significant
HEATR5B	Not significant
HEATR6	Not significant
HEBP1	Not significant
HEBP2	Mono late down
HECA	Not significant
HECTD1	Not significant
HECTD3	Not significant
HECTD4	Not significant
HELB	Not significant
HELLS	Not significant
HELQ	Not significant
HELZ	Not significant
HELZ2	Global up
HEMK1	Not significant
HERC1	Mono early down
HERC2	Not significant
HERC3	Not significant
HERC4	Not significant
HERC5	Global up
HERC6	Global up
HERPUD1	Mono late down
HERPUD2	B/T early up
HEXA	Not significant
HEXB	Mono late down
HEXDC	Not significant
HEXIM1	Not significant
HGS	Not significant
HGSNAT	Not significant
HIBCH	Not significant
HIF1A	Global up
HIKESHI	Not significant
HINFP	Not significant
HINT1	Global late down
HINT2	Not significant
HIP1R	B down
HIPK1	Not significant
HIPK2	Not significant
HIPK3	Not significant
HIRA	Not significant
HIST1H1D	Not significant
HIST1H2AC	Not significant
HIST1H2BD	Mono late up
HIST2H2AA4	Mono early up
HIVEP1	Not significant
HIVEP2	Global down
HIVEP3	Not significant
HK1	Mono early up
HLTF	Not significant
HM13	Not significant
HMBOX1	Not significant
HMBS	Not significant
HMCES	B down
HMG20A	Not significant
HMG20B	Not significant
HMGB1	Not significant
HMGB3	Not significant
HMGCL	Not significant
HMGCR	Not significant
HMGN1	Global up
HMGN3	Not significant
HMGN4	Not significant
HMGN5	Not significant
HMGXB3	Not significant
HMGXB4	Not significant
HMOX2	Global late down
HNRNPA0	Not significant
HNRNPA1	Lymph late up
HNRNPA2B1	Not significant
HNRNPA3	Lymph late up
HNRNPAB	Mono late down
HNRNPC	Global up
HNRNPDL	B/T early up
HNRNPF	Mono early up
HNRNPH1	Mono early down
HNRNPH2	Not significant
HNRNPH3	Not significant
HNRNPK	Not significant
HNRNPL	Mono late down
HNRNPLL	Not significant
HNRNPM	Global down
HNRNPR	Not significant
HNRNPU	Lymph late up
HNRNPUL1	Not significant
HOOK1	Not significant
HOOK3	Global up
HOPX	Global late down
HP1BP3	Global down
HPCAL1	Not significant
HPCAL4	Not significant
HPRT1	Not significant
HPS1	Not significant
HPS4	Not significant
HPS5	Mono late down
HPSE	Not significant
HRAS	Not significant
HS2ST1	Not significant
HSBP1	Not significant
HSBP1L1	Not significant
HSCB	Not significant
HSD17B10	Not significant
HSD17B11	Not significant
HSD17B4	Not significant
HSD17B7	Not significant
HSD17B8	Not significant
HSD3B7	Not significant
HSDL2	Not significant
HSF1	Not significant
HSF2	Not significant
HSP90AB1	Global down
HSP90B1	Mono early up
HSPA13	Not significant
HSPA14	Not significant
HSPA4	Not significant
HSPA5	B/T early up
HSPA8	B down
HSPA9	Not significant
HSPBAP1	Not significant
HSPBP1	Not significant
HSPD1	Lymph late up
HSPH1	Mono early down
HTATSF1	Not significant
HTRA2	Not significant
HTT	Not significant
HUWE1	Mono early down
HYI	Not significant
HYOU1	Not significant
HYPK	Not significant
IAH1	Not significant
IARS	Not significant
IARS2	Not significant
IBTK	Not significant
ICAM2	Not significant
ICAM3	Mono late down
ICE1	Mono early down
ICE2	Not significant
ICK	Not significant
ICMT	Not significant
ICOS	B/T early up
ID2	B/T early up
ID3	Not significant
IDE	Not significant
IDH1	Not significant
IDH2	NK mid up
IDH3A	Not significant
IDH3B	Not significant
IDH3G	Not significant
IDNK	Not significant
IER2	Not significant
IFFO1	Mono early down
IFI16	Global up
IFI27	Global up
IFI27L2	Mono early up
IFI30	B down
IFI35	Global up
IFI44	Global up
IFI44L	Mono late up
IFI6	Global up
IFIH1	Global up
IFIT1	Mono late up
IFIT2	Mono late up
IFIT3	Global up
IFIT5	Not significant
IFNAR1	Not significant
IFNAR2	Not significant
IFNG	Not significant
IFNGR1	Not significant
IFRD1	Not significant
IFRD2	Not significant
IFT172	Not significant
IFT43	Not significant
IFT46	Not significant
IFT57	Not significant
IFT74	Not significant
IFT80	Not significant
IFT88	Not significant
IGBP1	Not significant
IGF1R	Not significant
IGF2R	Not significant
IGFLR1	Not significant
IGHM	Lymph late up
IGKC	Lymph late up
IK	Not significant
IKBKE	Not significant
IKBKG	Not significant
IKZF1	Not significant
IKZF3	Not significant
IKZF4	Not significant
IKZF5	Not significant
IL10RA	Mono late down
IL11RA	Not significant
IL15	Not significant
IL16	Global down
IL17RA	Not significant
IL18R1	Not significant
IL21R	Not significant
IL23A	Not significant
IL27RA	B down
IL2RA	Not significant
IL2RB	Global late down
IL2RG	Not significant
IL4R	Not significant
IL6R	Not significant
IL6ST	Not significant
IL7R	B/T early up
ILF2	Not significant
ILF3	Mono early down
ILK	Not significant
ILKAP	Not significant
ILVBL	Not significant
IMMP1L	Not significant
IMMT	Not significant
IMP4	Not significant
IMPA1	Not significant
IMPACT	Not significant
IMPAD1	Not significant
IMPDH2	Not significant
ING1	Not significant
ING2	Not significant
ING3	Not significant
ING4	Not significant
ING5	Not significant
INO80	Not significant
INO80C	Not significant
INO80E	Not significant
INPP4A	Not significant
INPP4B	Not significant
INPP5D	Not significant
INPP5F	Not significant
INPP5K	Not significant
INPPL1	B down
INSIG1	Mono late down
INSIG2	Not significant
INTS1	Not significant
INTS10	Not significant
INTS11	Not significant
INTS12	Not significant
INTS13	Not significant
INTS2	Not significant
INTS3	Not significant
INTS4	Not significant
INTS6	Not significant
INTS6L	Global late down
INTS7	Not significant
INTS8	Not significant
INTS9	Not significant
INVS	Not significant
IP6K1	Not significant
IP6K2	Not significant
IPCEF1	B/T early up
IPO11	Not significant
IPO4	Not significant
IPO5	Not significant
IPO7	Not significant
IPO8	Not significant
IPO9	Not significant
IQCB1	Not significant
IQCC	Not significant
IQCE	Not significant
IQGAP1	Global late down
IQGAP2	B down
IQSEC1	B down
IRAK1	Not significant
IRAK1BP1	Not significant
IRAK2	Not significant
IRAK4	Not significant
IRF1	NK mid up
IRF2	Not significant
IRF2BPL	Not significant
IRF3	Not significant
IRF4	Not significant
IRF7	Global up
IRF9	Global up
IRS1	Not significant
ISCA1	B/T early up
ISCU	Not significant
ISG15	Global up
ISG20	Global up
ISG20L2	Not significant
ISOC1	Not significant
IST1	Not significant
ITCH	Not significant
ITFG1	Not significant
ITFG2	Not significant
ITGA1	Not significant
ITGA4	Global late down
ITGA5	Not significant
ITGA6	B/T early up
ITGAE	Not significant
ITGAL	NK mid up
ITGB1	Global down
ITGB1BP1	Not significant
ITGB2	B down
ITGB7	NK mid up
ITK	B/T early up
ITM2A	B/T early up
ITM2B	B/T early up
ITM2C	Not significant
ITPA	Not significant
ITPK1	NK mid up
ITPKC	Not significant
ITPR1	Not significant
ITPR2	B down
ITPR3	Not significant
ITPRIPL1	Not significant
ITSN1	Not significant
IVD	Not significant
IVNS1ABP	Global late down
IWS1	Not significant
JADE1	Not significant
JADE2	B down
JAGN1	Not significant
JAK1	Global late down
JAK2	B/T early up
JAK3	Not significant
JAKMIP1	Not significant
JAKMIP2	Not significant
JAML	Mono late down
JARID2	Mono early down
JKAMP	Not significant
JMJD1C	Mono late down
JMJD6	Not significant
JMY	B/T early up
JOSD1	Not significant
JPT1	Not significant
JRK	Not significant
JRKL	Not significant
JTB	Not significant
JUNB	Not significant
JUND	Not significant
KANSL1	Not significant
KANSL1L	Not significant
KANSL2	Not significant
KAT14	Not significant
KAT2B	Not significant
KAT5	Not significant
KAT6A	Not significant
KAT6B	Mono early down
KAT7	Not significant
KAT8	Not significant
KATNA1	Not significant
KATNBL1	Not significant
KBTBD2	Not significant
KBTBD3	Not significant
KBTBD7	Not significant
KCMF1	Not significant
KCNA3	Mono late down
KCNAB2	Not significant
KCNMB4	Not significant
KCNN4	Not significant
KCNQ5	Not significant
KCTD10	Not significant
KCTD17	Not significant
KCTD2	Not significant
KCTD20	Not significant
KCTD5	Not significant
KCTD6	Not significant
KCTD9	Not significant
KDELR1	Not significant
KDELR2	Not significant
KDM1A	Mono late down
KDM1B	Not significant
KDM2A	Not significant
KDM2B	Not significant
KDM3A	Not significant
KDM3B	Not significant
KDM4A	Not significant
KDM4B	B down
KDM4C	Not significant
KDM5A	Mono early down
KDM5B	Not significant
KDM5C	Not significant
KDM5D	Not significant
KDM6A	Not significant
KDM7A	Not significant
KDSR	Not significant
KEAP1	Not significant
KHDC4	Not significant
KHDRBS1	Not significant
KHK	Not significant
KHNYN	Not significant
KHSRP	Not significant
KIAA0040	Global down
KIAA0100	Not significant
KIAA0232	Mono early down
KIAA0319L	Not significant
KIAA0355	Not significant
KIAA0408	Not significant
KIAA0556	Not significant
KIAA0586	Not significant
KIAA0753	Not significant
KIAA0930	Not significant
KIAA1143	Not significant
KIAA1191	Not significant
KIAA1324	Not significant
KIAA1328	Not significant
KIAA1468	Not significant
KIAA1549	Not significant
KIAA1586	Not significant
KIAA2013	Not significant
KIDINS220	Not significant
KIF16B	Mono early down
KIF1BP	Not significant
KIF1C	Not significant
KIF20B	Not significant
KIF21B	Not significant
KIF22	Not significant
KIF27	Not significant
KIF2A	Not significant
KIF3A	Not significant
KIF3B	Not significant
KIF3C	Not significant
KIF5B	Not significant
KIFAP3	Not significant
KIN	Not significant
KIZ	Not significant
KLC1	Global down
KLC2	Not significant
KLC4	Not significant
KLF10	B/T early up
KLF11	Not significant
KLF12	Not significant
KLF2	Not significant
KLF3	Global down
KLF4	Mono late down
KLF6	Global late down
KLF8	Not significant
KLHDC1	Not significant
KLHDC2	Not significant
KLHDC4	Not significant
KLHDC8B	Not significant
KLHL12	Not significant
KLHL15	Not significant
KLHL18	Not significant
KLHL2	Not significant
KLHL24	Not significant
KLHL28	Not significant
KLHL3	Not significant
KLHL36	Not significant
KLHL5	Not significant
KLHL6	Not significant
KLHL7	Not significant
KLHL8	Not significant
KLHL9	Not significant
KLRB1	Global late down
KMT2B	Not significant
KMT2D	Not significant
KMT2E	Mono early down
KMT5A	Not significant
KMT5B	Not significant
KNL1	Not significant
KNOP1	Not significant
KPNA1	Not significant
KPNA2	Not significant
KPNA3	Not significant
KPNA4	Not significant
KPNA5	Not significant
KPNA6	Not significant
KPNB1	NK mid up
KPTN	Not significant
KRAS	Not significant
KRBOX4	Not significant
KRCC1	Not significant
KRI1	Not significant
KRIT1	Not significant
KRR1	Lymph late up
KRT10	Mono late down
KRTCAP2	Mono late down
KTN1	Not significant
KYAT3	Not significant
L3MBTL1	Not significant
L3MBTL2	Not significant
L3MBTL3	Mono early down
LACTB	Mono late up
LAIR1	Global late down
LAMP1	Not significant
LAMP2	Not significant
LAMTOR1	Not significant
LAMTOR2	Not significant
LAMTOR3	Not significant
LAMTOR4	Mono late down
LAMTOR5	Not significant
LANCL2	Not significant
LAP3	Mono late up
LAPTM4A	Not significant
LAPTM4B	Not significant
LAPTM5	Global late down
LARP1B	Not significant
LARP4	Not significant
LARP7	Not significant
LARS	Not significant
LAS1L	Not significant
LASP1	Global down
LAT	Not significant
LATS1	Not significant
LAX1	B/T early up
LBH	Not significant
LBR	Not significant
LCK	Global down
LCLAT1	Not significant
LCMT1	Not significant
LCOR	Not significant
LCORL	Not significant
LCP1	B down
LCP2	Not significant
LDB1	Not significant
LDHA	NK mid up
LDHB	Not significant
LDLR	Not significant
LDLRAD4	Not significant
LDOC1	Not significant
LEF1	Global late down
LEMD2	Not significant
LEMD3	Not significant
LENG1	Not significant
LENG8	Not significant
LEO1	Not significant
LEPROTL1	Not significant
LETM1	Not significant
LFNG	Not significant
LGALS1	Mono late up
LGALS3	Mono late down
LGALS3BP	Global up
LGALS8	Global up
LGMN	Mono late down
LIG1	Not significant
LIG3	Not significant
LIG4	Not significant
LIMA1	Not significant
LIMD2	B down
LIMK2	Mono late up
LIMS1	Mono early up
LIN54	Not significant
LIN7B	Not significant
LINS1	Not significant
LIPA	Mono late down
LIPT1	Not significant
LIX1L	Not significant
LLGL1	Not significant
LLGL2	Not significant
LMAN1	Not significant
LMAN2	Mono late up
LMBR1	Not significant
LMBR1L	Global down
LMBRD1	Not significant
LMBRD2	Not significant
LMNA	B down
LMNB1	Not significant
LMNB2	Not significant
LMTK2	Not significant
LNPEP	Not significant
LNPK	Not significant
LONP1	Not significant
LONP2	Not significant
LPAR2	Not significant
LPAR6	Not significant
LPCAT1	Not significant
LPCAT4	Not significant
LPGAT1	Not significant
LPIN2	Not significant
LPL	Not significant
LPXN	Not significant
LRCH1	Not significant
LRCH3	Not significant
LRCH4	Global down
LRIF1	Not significant
LRIG1	Not significant
LRMP	Mono late down
LRP10	Not significant
LRPAP1	Not significant
LRPPRC	Not significant
LRRC1	Not significant
LRRC28	Not significant
LRRC41	Not significant
LRRC47	Not significant
LRRC57	Not significant
LRRC59	Not significant
LRRC6	Not significant
LRRC8A	Not significant
LRRC8B	Mono late down
LRRC8C	Not significant
LRRC8D	Not significant
LRRCC1	Not significant
LRRFIP1	Global down
LRRFIP2	Not significant
LRSAM1	Not significant
LRWD1	Not significant
LSG1	Not significant
LSM10	B down
LSM12	Not significant
LSM14A	Global late down
LSM14B	Not significant
LSM2	Not significant
LSM3	Not significant
LSM4	Global late down
LSM7	Not significant
LSM8	Not significant
LSP1	Mono late down
LSR	Not significant
LST1	Not significant
LTA	Not significant
LTA4H	Mono late down
LTB	Global down
LTBP3	Not significant
LTBP4	Not significant
LTN1	Not significant
LUC7L	Global down
LUZP1	Not significant
LY9	Not significant
LY96	Not significant
LYAR	Not significant
LYNX1	Not significant
LYPLA1	Not significant
LYPLA2	Not significant
LYPLAL1	Not significant
LYRM1	Not significant
LYSMD3	Not significant
LYSMD4	Not significant
LYST	Mono late down
LYZ	Mono early up
LZIC	Not significant
LZTFL1	Not significant
LZTS2	Not significant
M6PR	Not significant
MACO1	Not significant
MAD1L1	Not significant
MAD2L1BP	Not significant
MAD2L2	Not significant
MADD	Global down
MAEA	Not significant
MAF	Not significant
MAF1	Global down
MAFF	Not significant
MAFG	Not significant
MAGED1	Not significant
MAGED2	Not significant
MAGEH1	Not significant
